"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"NutritionProduct","NutritionProduct","","","",0,*,"","","","null {[]} {[]}
","Nutrition Product (logical model)","A product used for nutritional purposes. Logical model mirroring the FHIR R5 NutritionProduct resource so that R4 implementations can exchange space food-item catalogues; instances carry resourceType NutritionProduct.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NutritionProduct.id","NutritionProduct.id","","","",0,1,"","","","id {[]} {[]}
","Logical id of this product record","Logical id of this product record","","","","","","","","","",,,,,"",,,,"NutritionProduct.id",0,1,"",""
"NutritionProduct.meta","NutritionProduct.meta","","","",0,1,"","","","Meta {[]} {[]}
","Metadata about the record, including provenance (meta.source) and the HTEST tag","Metadata about the record, including provenance (meta.source) and the HTEST tag","","","","","","","","","",,,,,"",,,,"NutritionProduct.meta",0,1,"",""
"NutritionProduct.status","NutritionProduct.status","","","",1,1,"","","","code {[]} {[]}
","active | inactive | entered-in-error","active | inactive | entered-in-error","","","","","","","","","",,,,,"",,,,"NutritionProduct.status",1,1,"",""
"NutritionProduct.code","NutritionProduct.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A code that identifies the product","A code that identifies the product","","","","","","","","","",,,,,"",,,,"NutritionProduct.code",0,1,"",""
"NutritionProduct.category","NutritionProduct.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Broad product groups or categories","Broad product groups or categories","","","","","","","","","",,,,,"",,,,"NutritionProduct.category",0,*,"",""
"NutritionProduct.note","NutritionProduct.note","","","",0,*,"","","","Annotation {[]} {[]}
","Comments made about the product","Comments made about the product","","","","","","","","","",,,,,"",,,,"NutritionProduct.note",0,*,"",""
"NutritionProduct.instance","NutritionProduct.instance","","","",0,*,"","","","BackboneElement {[]} {[]}
","One or more physical instances or occurrences of the nutrition product","One or more physical instances or occurrences of the nutrition product","","","","","","","","","",,,,,"",,,,"NutritionProduct.instance",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NutritionProduct.instance.id","NutritionProduct.instance.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NutritionProduct.instance.extension","NutritionProduct.instance.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionProduct.instance.modifierExtension","NutritionProduct.instance.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NutritionProduct.instance.name","NutritionProduct.instance.name","","","",0,1,"","","","string {[]} {[]}
","The name for the specific product","The name for the specific product","","","","","","","","","",,,,,"",,,,"NutritionProduct.instance.name",0,1,"",""
