"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SpacecraftLifeSupportTelemetry","SpacecraftLifeSupportTelemetry","","","",0,*,"","","","null {[]} {[]}
","Spacecraft Life Support Telemetry","A logical model representing Environmental Control and Life Support Systems (ECLSS) parameters monitored in spacecraft habitat modules.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition","SpacecraftLifeSupportTelemetry.atmosphericComposition","","","",0,1,"","","","BackboneElement {[]} {[]}
","Measurement of atmospheric gas composition","Measurement of atmospheric gas composition","","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SpacecraftLifeSupportTelemetry.atmosphericComposition.id","SpacecraftLifeSupportTelemetry.atmosphericComposition.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition.extension","SpacecraftLifeSupportTelemetry.atmosphericComposition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SpacecraftLifeSupportTelemetry.atmosphericComposition.modifierExtension","SpacecraftLifeSupportTelemetry.atmosphericComposition.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SpacecraftLifeSupportTelemetry.atmosphericComposition.o2Percent","SpacecraftLifeSupportTelemetry.atmosphericComposition.o2Percent","","","",0,1,"","","","decimal {[]} {[]}
","Oxygen percentage","Oxygen concentration in cabin air, typically around 21%. Crucial for breathing; must stay in safe range to avoid hypoxia or fire risk.","Target is approximately 21%. Alert if below 19.5% (hypoxia risk) or above 23% (fire hazard).","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition.o2Percent",0,1,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition.co2Ppm","SpacecraftLifeSupportTelemetry.atmosphericComposition.co2Ppm","","","",0,1,"","","","decimal {[]} {[]}
","Carbon dioxide level","Carbon dioxide concentration in cabin air, measured in parts per million (ppm).","Kept low (thousands of ppm) to prevent crew headaches, dizziness. Alerts if above allowable limit (NASA 3 mmHg ≈ 4000 ppm 1-hr).","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition.co2Ppm",0,1,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition.n2Percent","SpacecraftLifeSupportTelemetry.atmosphericComposition.n2Percent","","","",0,1,"","","","decimal {[]} {[]}
","Nitrogen percentage","Nitrogen concentration in cabin air, typically around 78%.","Primary buffer gas to maintain pressure. Changes may indicate pressure adjustments.","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition.n2Percent",0,1,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition.ch4Ppm","SpacecraftLifeSupportTelemetry.atmosphericComposition.ch4Ppm","","","",0,1,"","","","decimal {[]} {[]}
","Methane level","Methane concentration in cabin air, measured in parts per million (ppm).","Typically near 0. Monitored as part of atmospheric quality and as a flammability indicator.","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition.ch4Ppm",0,1,"",""
"SpacecraftLifeSupportTelemetry.atmosphericComposition.h2Ppm","SpacecraftLifeSupportTelemetry.atmosphericComposition.h2Ppm","","","",0,1,"","","","decimal {[]} {[]}
","Hydrogen level","Hydrogen concentration in cabin air, measured in parts per million (ppm).","Should be approximately 0; any reading flags a leak or issue as hydrogen is flammable.","","","","","","","","",,,,,"",,,,"SpacecraftLifeSupportTelemetry.atmosphericComposition.h2Ppm",0,1,"",""
