URL,Version,Status,OIDs,Name,Title,Description,Used
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/actigraphy-metric-cs,0.7.0,active,,ActigraphyMetricCS,Actigraphy Metric Code System,"Metrics derived from wrist actigraphy for sleep-wake monitoring",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/aerospace-behavioral-state-cs,0.7.0,active,,AerospaceBehavioralStateCS,Aerospace Behavioral State Code System,"Codes describing behavioral and psychological state parameters in aerospace missions.",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/aerospace-observation-category-cs,0.7.0,active,,AerospaceObservationCategoryCS,Aerospace Observation Category,"Observation categories for spacecraft and habitat telemetry that are not covered by the HL7 observation-category code system (operational, environmental, life-support)",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/antiemetic-medication-cs,0.7.0,active,,AntiemeticMedicationCS,Antiemetic Medication Code System,"Antiemetic medications used for space motion sickness prophylaxis and treatment",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/antiemetic-protocol-cs,0.7.0,active,,AntiemeticProtocolCS,Antiemetic Protocol Code System,"Protocols for antiemetic administration in spaceflight contexts",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/antioxidant-biomarker-cs,0.7.0,active,,AntioxidantBiomarkerCS,Antioxidant Biomarker Code System,"Biomarkers of oxidative stress and antioxidant status",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/artemis-certified-devices-cs,0.7.0,active,,ArtemisCertifiedDevicesCS,Artemis Certified Devices,"Flight-qualified hardware and systems used in Artemis missions (Orion, SLS, xEMU, Starship-HLS, CLPS landers, Gateway modules, LTV, radioisotope power units, etc.)",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/artemis-landing-region-cs,0.7.0,active,,ArtemisLandingRegionCS,Artemis Landing Regions,"Candidate Artemis III landing regions near the lunar south pole (within 6° of pole, near permanently shadowed craters)",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/artemis-mission-cs,0.7.0,active,,ArtemisMissionCS,Artemis Missions,"Historical and planned Artemis program missions with target destinations, launch dates, and status. Reflects the post-2026 replan in which Artemis III is a crewed low-Earth orbit test flight and Artemis IV is the first crewed lunar landing.",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/artemis-prototype-devices-cs,0.7.0,active,,ArtemisPrototypeDevicesCS,Artemis Prototype Devices,"Developmental and test hardware not yet flight-certified: demo units, ground analogs, next-generation prototypes, and planned LunaNet, surface mobility, habitat, logistics, ISRU, and surface power infrastructure elements",
https://awatson1978.github.io/aerospace-medicine-ig/CodeSystem/artemis-radiation-measure-cs,0.7.0,active,,ArtemisRadiationMeasureCS,Artemis Radiation Measures,"Observation and component codes used by the ArtemisRadiationExposure profile: dose measures and the contextual components (radiation source, shielding condition, tissue type). Radiation source values come from SpaceRadiationTypeCS.",
