URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/uv/aerospace/CodeSystem/aerospace-behavioral-state-cs,0.5.9,active,,AerospaceBehavioralStateCS,Aerospace Behavioral State Code System,"Codes describing behavioral and psychological state parameters in aerospace missions.","ValueSet/behavioral-health-metrics-vs,ValueSet/cognitive-performance-indicators-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/artemis-certified-devices-cs,0.5.9,active,,ArtemisCertifiedDevicesCS,Artemis Certified Devices,"Flight-qualified hardware and systems used in Artemis missions (Orion, xEMU, Starship-HLS, Gateway, LTV, etc.)","ValueSet/artemis-all-devices-vs,ValueSet/artemis-certified-devices-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/artemis-landing-region-cs,0.5.9,active,,ArtemisLandingRegionCS,Artemis Landing Regions,"Candidate Artemis III landing regions near the lunar south pole (within 6° of pole, near permanently shadowed craters)","ValueSet/artemis-landing-region-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/artemis-mission-cs,0.5.9,active,,ArtemisMissionCS,Artemis Missions,"Historical and planned Artemis program missions with target destinations, launch dates, and status","ValueSet/artemis-mission-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/artemis-prototype-devices-cs,0.5.9,active,,ArtemisPrototypeDevicesCS,Artemis Prototype Devices,"Developmental and test hardware not yet flight-certified (demo units, ground analogs, next-gen prototypes)","ValueSet/artemis-prototype-devices-vs,ValueSet/artemis-all-devices-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/behavioral-biomarker-cs,0.5.9,active,,BehavioralBiomarkerCS,Behavioral Biomarker Code System,"Codes for physiologic and digital biomarkers related to behavioral health and stress.","ValueSet/cognitive-performance-indicators-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/crewed-mars-missions-cs,0.5.9,active,,CrewedMarsMissionsCS,Human Mars Mission Plans,"Proposed or conceptual human mission architectures to Mars (Mars Direct, NASA DRMs, SpaceX, etc.)","ValueSet/crewed-mars-missions-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-capabilities-cs,0.5.9,active,,HyperbaricCapabilitiesCS,Hyperbaric Chamber Capabilities,"Capabilities and services available in hyperbaric chambers","ValueSet/hyperbaric-capabilities-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-chamber-type-cs,0.5.9,active,,HyperbaricChamberTypeCS,Hyperbaric Chamber Types,"Types of hyperbaric chambers","ValueSet/hyperbaric-chamber-type-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/isolation-syndrome-factor-cs,0.5.9,active,,IsolationSyndromeFactorCS,Isolation Syndrome Factor Code System,"Factors contributing to isolation, confinement, and psychosocial risk in aerospace missions.","ValueSet/isolation-syndrome-factors-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/location-capabilities-cs,0.5.9,active,,LocationCapabilitiesCS,Location Capabilities Code System,"Capabilities and services available at aerospace medicine locations","ValueSet/location-capabilities-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/mars-devices-certified-cs,0.5.9,active,,MarsCertifiedDevicesCS,Mars Mission Devices - Certified,"Flight-qualified hardware and systems operational or used in Mars mission planning (ISS heritage, Orion, etc.)","ValueSet/mars-all-devices-vs,ValueSet/mars-devices-certified-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/mars-devices-prototype-cs,0.5.9,active,,MarsPrototypeDevicesCS,Mars Mission Devices - Prototype,"Developmental or conceptual hardware for Mars missions (prototypes, test articles, planned systems)","ValueSet/mars-devices-prototype-vs,ValueSet/mars-all-devices-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/mars-landing-sites-cs,0.5.9,active,,MarsLandingSitesCS,Mars Landing Sites (Candidate),"Candidate landing sites for human Mars missions with are  ographic coordinates and site characteristics","ValueSet/mars-landing-sites-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/mars-missions-cs,0.5.9,active,,MarsMissionsCS,Mars Missions,"NASA and international missions to Mars (robotic and conceptual human missions)","ValueSet/mars-missions-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/operational-status-cs,0.5.9,active,,OperationalStatusCS,Operational Status Code System,"Operational status codes for facilities and vehicles","ValueSet/operational-status-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/psychological-countermeasure-cs,0.5.9,active,,PsychologicalCountermeasureCS,Psychological Countermeasure Code System,"Codes for psychological countermeasure interventions in aerospace missions.","ValueSet/stress-countermeasures-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/space-exercise-modality-cs,0.5.9,active,,SpaceExerciseModalityCS,Space Exercise Modality Code System,"Spaceflight-specific exercise modalities used in microgravity and partial gravity environments (e.g., ISS treadmill, ARED resistive training, artificial gravity).","ValueSet/space-exercise-modality-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/space-performance-metric-cs,0.5.9,active,,SpacePerformanceMetricCS,Space Exercise Performance Metric Code System,"Key performance metrics for space-based exercise sessions (e.g., power output, VO2 surrogate, effective ground reaction force).","ValueSet/space-performance-metric-vs"
