URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/uv/aerospace/CodeSystem/aerospace-behavioral-state-cs,0.4.2,active,,AerospaceBehavioralStateCS,Aerospace Behavioral State Code System,"Codes describing behavioral and psychological state parameters in aerospace missions.",
http://hl7.org/fhir/uv/aerospace/CodeSystem/behavioral-biomarker-cs,0.4.2,active,,BehavioralBiomarkerCS,Behavioral Biomarker Code System,"Codes for physiologic and digital biomarkers related to behavioral health and stress.",
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-capabilities-cs,0.4.2,active,,HyperbaricCapabilitiesCS,Hyperbaric Chamber Capabilities,"Capabilities and services available in hyperbaric chambers",
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-chamber-type-cs,0.4.2,active,,HyperbaricChamberTypeCS,Hyperbaric Chamber Types,"Types of hyperbaric chambers",
http://hl7.org/fhir/uv/aerospace/CodeSystem/isolation-syndrome-factor-cs,0.4.2,active,,IsolationSyndromeFactorCS,Isolation Syndrome Factor Code System,"Factors contributing to isolation, confinement, and psychosocial risk in aerospace missions.",
http://hl7.org/fhir/uv/aerospace/CodeSystem/location-capabilities-cs,0.4.2,active,,LocationCapabilitiesCS,Location Capabilities Code System,"Capabilities and services available at aerospace medicine locations",
http://hl7.org/fhir/uv/aerospace/CodeSystem/operational-status-cs,0.4.2,active,,OperationalStatusCS,Operational Status Code System,"Operational status codes for facilities and vehicles",
http://hl7.org/fhir/uv/aerospace/CodeSystem/psychological-countermeasure-cs,0.4.2,active,,PsychologicalCountermeasureCS,Psychological Countermeasure Code System,"Codes for psychological countermeasure interventions in aerospace missions.",
https://mitre.org/fhir/space-health/CodeSystem/aerospace-code-system-enhanced,0.4.2,active,,AerospaceCodeSystemEnhanced,Enhanced Aerospace Medicine Code System,"Comprehensive code system for aerospace medicine concepts including all referenced codes",
https://mitre.org/fhir/space-health/CodeSystem/calorie-deficit-risk-cs,0.4.2,active,,CalorieDeficitRiskCS,Calorie Deficit Risk Levels,"Risk categorization for caloric deficits",
https://mitre.org/fhir/space-health/CodeSystem/decompression-protocol-cs,0.4.2,active,,DecompressionProtocolCS,Decompression Protocols and Procedures,"Standardized decompression protocols and safety procedures",
https://mitre.org/fhir/space-health/CodeSystem/diving-medicine-cs,0.4.2,active,,DivingMedicineCS,Diving Medicine Code System,"Medical codes specific to diving medicine and hyperbaric treatments",
https://mitre.org/fhir/space-health/CodeSystem/hydration-type-cs,0.4.2,active,,HydrationTypeCS,Hydration Product Types,"Types of hydration products used in space",
https://mitre.org/fhir/space-health/CodeSystem/macronutrient-metrics-cs,0.4.2,active,,MacronutrientMetricsCS,Macronutrient Metrics,"Measurement types for macronutrient tracking",
