URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/asset-availability,4.0.1,draft,"2.16.840.1.113883.4.642.4.1296",ContractResourceAssetAvailiabilityCodes,Contract Resource Asset Availiability codes,"This value set has asset availability codes.","ValueSet/asset-availability"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/contract-action-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1304",ContractResourceActionStatusCodes,Contract Resource Action Status codes,"This value set contract specific codes for action status.","ValueSet/contract-actionstatus"
http://hl7.org/fhir/contract-asset-context,4.0.1,draft,"2.16.840.1.113883.4.642.4.1298",ContractResourceAssetContextCodes,Contract Resource Asset Context codes,"This value set contract specific codes for asset context.","ValueSet/contract-assetcontext"
http://hl7.org/fhir/contract-asset-scope,4.0.1,draft,"2.16.840.1.113883.4.642.4.1294",ContractResourceAssetScopeCodes,Contract Resource Asset Scope codes,"This value set contract specific codes for asset scope.","ValueSet/contract-assetscope"
http://hl7.org/fhir/contract-asset-subtype,4.0.1,draft,"2.16.840.1.113883.4.642.4.1302",ContractResourceAssetSub-TypeCodes,Contract Resource Asset Sub-Type codes,"This value set contract specific codes for asset subtype.","ValueSet/contract-assetsubtype"
http://hl7.org/fhir/contract-asset-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1300",ContractResourceAssetTypeCodes,Contract Resource Asset Type codes,"This value set contract specific codes for asset type.","ValueSet/contract-assettype"
http://hl7.org/fhir/contract-decision-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.1292",ContractResourceDecisionModeCodes,Contract Resource Decision Mode codes,"This value set contract specific codes for decision modes.","ValueSet/contract-decision-mode"
http://hl7.org/fhir/contract-definition-subtype,4.0.1,draft,"2.16.840.1.113883.4.642.4.1213",ContractResourceDefinitionSubtypeCodes,Contract Resource Definition Subtype codes,"This value set contract specific codes for status.","ValueSet/contract-definition-subtype"
http://hl7.org/fhir/contract-definition-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1211",ContractResourceDefinitionTypeCodes,Contract Resource Definition Type codes,"This value set contract specific codes for status.","ValueSet/contract-definition-type"
http://hl7.org/fhir/contract-expiration-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1215",ContractResourceExpirationTypeCodes,Contract Resource Expiration Type codes,"This value set contract specific codes for status.","ValueSet/contract-expiration-type"
http://hl7.org/fhir/contract-legalstate,4.0.1,draft,"2.16.840.1.113883.4.642.4.1207",ContractResourceLegalStateCodes,Contract Resource Legal State codes,"This value set contract specific codes for status.","ValueSet/contract-legalstate"
http://hl7.org/fhir/contract-party-role,4.0.1,draft,"2.16.840.1.113883.4.642.4.1225",ContractResourcePartyRoleCodes,Contract Resource Party Role codes,"This value set contract specific codes for offer party participation.","ValueSet/contract-party-role"
