URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/uv/aerospace/CodeSystem/aerospace-behavioral-state-cs,0.4.2,active,,AerospaceBehavioralStateCS,Aerospace Behavioral State Code System,"Codes describing behavioral and psychological state parameters in aerospace missions.","ValueSet/behavioral-health-metrics-vs,ValueSet/cognitive-performance-indicators-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/behavioral-biomarker-cs,0.4.2,active,,BehavioralBiomarkerCS,Behavioral Biomarker Code System,"Codes for physiologic and digital biomarkers related to behavioral health and stress.","ValueSet/cognitive-performance-indicators-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-capabilities-cs,0.4.2,active,,HyperbaricCapabilitiesCS,Hyperbaric Chamber Capabilities,"Capabilities and services available in hyperbaric chambers","ValueSet/hyperbaric-capabilities-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/hyperbaric-chamber-type-cs,0.4.2,active,,HyperbaricChamberTypeCS,Hyperbaric Chamber Types,"Types of hyperbaric chambers","ValueSet/hyperbaric-chamber-type-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/isolation-syndrome-factor-cs,0.4.2,active,,IsolationSyndromeFactorCS,Isolation Syndrome Factor Code System,"Factors contributing to isolation, confinement, and psychosocial risk in aerospace missions.","ValueSet/isolation-syndrome-factors-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/location-capabilities-cs,0.4.2,active,,LocationCapabilitiesCS,Location Capabilities Code System,"Capabilities and services available at aerospace medicine locations","ValueSet/location-capabilities-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/operational-status-cs,0.4.2,active,,OperationalStatusCS,Operational Status Code System,"Operational status codes for facilities and vehicles","ValueSet/operational-status-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/psychological-countermeasure-cs,0.4.2,active,,PsychologicalCountermeasureCS,Psychological Countermeasure Code System,"Codes for psychological countermeasure interventions in aerospace missions.","ValueSet/stress-countermeasures-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/space-exercise-modality-cs,0.4.2,active,,SpaceExerciseModalityCS,Space Exercise Modality Code System,"Spaceflight-specific exercise modalities used in microgravity and partial gravity environments (e.g., ISS treadmill, ARED resistive training, artificial gravity).","ValueSet/space-exercise-modality-vs"
http://hl7.org/fhir/uv/aerospace/CodeSystem/space-performance-metric-cs,0.4.2,active,,SpacePerformanceMetricCS,Space Exercise Performance Metric Code System,"Key performance metrics for space-based exercise sessions (e.g., power output, VO2 surrogate, effective ground reaction force).","ValueSet/space-performance-metric-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/underwater-training-procedures,ValueSet/GimbalContraindicatedConditions,ValueSet/SleepLossHypoxiaEffect,ValueSet/SpaceRadiationRisksVS,ValueSet/SpaceflightStressFactors,ValueSet/LunarDustToxicityValueSet,ValueSet/space-radiation-effects,ValueSet/diving-contraindicated-conditions,ValueSet/regulatory-standards,ValueSet/decompression-procedures,ValueSet/SpaceTravelBrainChanges,ValueSet/space-physiological-effects,ValueSet/space-cardiovascular-effects,ValueSet/space-visual-effects,ValueSet/MuscleStiffnessAndSpaceHealth,ValueSet/SpaceAdaptationBoneHealth,ValueSet/space-environmental-factors,ValueSet/AircraftFumeExposureValueSet,ValueSet/radiation-countermeasures-vs-complete,ValueSet/space-radiation-type-vs-complete,ValueSet/SleepLossHypoxiaResponses,ValueSet/space-monitoring-procedures,ValueSet/space-neurological-effects,ValueSet/space-psychological-effects,ValueSet/AstronautBackPain"
https://mitre.org/fhir/space-health/CodeSystem/calorie-deficit-risk-cs,0.4.2,active,,CalorieDeficitRiskCS,Calorie Deficit Risk Levels,"Risk categorization for caloric deficits","ValueSet/calorie-deficit-risk-vs"
https://mitre.org/fhir/space-health/CodeSystem/decompression-protocol-cs,0.4.2,active,,DecompressionProtocolCS,Decompression Protocols and Procedures,"Standardized decompression protocols and safety procedures","ValueSet/decompression-procedures"
https://mitre.org/fhir/space-health/CodeSystem/diving-medicine-cs,0.4.2,active,,DivingMedicineCS,Diving Medicine Code System,"Medical codes specific to diving medicine and hyperbaric treatments","ValueSet/diving-medical-examinations"
https://mitre.org/fhir/space-health/CodeSystem/hydration-type-cs,0.4.2,active,,HydrationTypeCS,Hydration Product Types,"Types of hydration products used in space","ValueSet/hydration-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/macronutrient-metrics-cs,0.4.2,active,,MacronutrientMetricsCS,Macronutrient Metrics,"Measurement types for macronutrient tracking","ValueSet/macronutrient-metrics-vs"
https://mitre.org/fhir/space-health/CodeSystem/neutral-buoyancy-training-cs,0.4.2,active,,NeutralBuoyancyTrainingCS,Neutral Buoyancy Training Code System,"Specialized codes for neutral buoyancy training activities and assessments","ValueSet/neutral-buoyancy-training-activities"
https://mitre.org/fhir/space-health/CodeSystem/nutrition-inventory-status-cs,0.4.2,active,,NutritionInventoryStatusCS,Nutrition Inventory Status,"Status levels for nutrition inventory management","ValueSet/nutrition-inventory-status-vs"
https://mitre.org/fhir/space-health/CodeSystem/radiation-countermeasures-cs,0.4.2,draft,,RadiationCountermeasuresCS,Radiation Countermeasures Code System,"Protective measures against space radiation","ValueSet/radiation-countermeasures-vs-complete,ValueSet/radiation-countermeasures-vs"
https://mitre.org/fhir/space-health/CodeSystem/radiation-detector-type-cs,0.4.2,draft,,RadiationDetectorTypeCS,Radiation Detector Type Code System,"Types of radiation detection equipment","ValueSet/dosimeter-type-vs,ValueSet/radiation-detector-type-vs-complete"
https://mitre.org/fhir/space-health/CodeSystem/regulatory-compliance-cs,0.4.2,active,,RegulatoryComplianceCS,Diving and Space Medicine Regulatory Compliance,"Regulatory standards and compliance codes for diving and space medicine","ValueSet/regulatory-standards"
https://mitre.org/fhir/space-health/CodeSystem/space-nutrition-type-cs,0.4.2,active,,SpaceNutritionTypeCS,Space Nutrition Product Types,"Types of nutritional products used in space missions","ValueSet/space-nutrition-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/space-radiation-type-cs,0.4.2,draft,,SpaceRadiationTypeCS,Space Radiation Type Code System,"Types of radiation encountered in space environments","ValueSet/space-radiation-type-vs-complete,ValueSet/space-radiation-type-vs"
https://mitre.org/fhir/space-health/CodeSystem/underwater-communication-cs,0.4.2,active,,UnderwaterCommunicationCS,Underwater Communication Systems,"Communication systems and protocols for underwater training operations","ValueSet/underwater-communication-systems"
